disease_id,disease
DIS_0633,Peripheral neuropathy
DIS_0634,Peritoneal carcinomatosis
DIS_0635,Peritonitis
DIS_0636,Persistent depressive disorder
DIS_0638,Personality disorders
DIS_0640,Peyronie's disease
DIS_0641,Pilocytic astrocytoma
DIS_0642,Pilonidal cyst
DIS_0643,Pinched nerve
DIS_0644,Pineoblastoma
DIS_0647,Plantar warts
DIS_0648,Pleurisy
DIS_0649,Plexiform neurofibroma
DIS_0650,Pneumonia
DIS_0651,Pneumonitis
DIS_0653,Polycystic kidney disease
DIS_0657,Polymyositis
DIS_0658,Popliteal artery aneurysm
DIS_0659,Popliteal artery entrapment syndrome
DIS_0662,Post-vasectomy pain syndrome
DIS_0663,Posterior cortical atrophy
DIS_0665,Postherpetic neuralgia
DIS_0667,Pouchitis
DIS_0669,Precocious puberty
DIS_0670,Prediabetes
DIS_0672,Premature birth
DIS_0673,Premature ejaculation
DIS_0676,Presbyopia
DIS_0677,Prescription drug abuse
DIS_0681,Primary lateral sclerosis (PLS)
DIS_0682,Primary ovarian insufficiency
DIS_0684,Progeria
DIS_0685,Progressive supranuclear palsy
DIS_0687,Prostate cancer
DIS_0688,Prostatitis
DIS_0689,Pseudobulbar affect
DIS_0695,Pulmonary atresia with ventricular septal defect
DIS_0697,Pulmonary embolism
DIS_0698,Pulmonary fibrosis
DIS_0699,Pulmonary hypertension
DIS_0700,Pulmonary valve disease
DIS_0702,Pyloric stenosis
DIS_0703,Pyoderma gangrenosum
DIS_0704,REM sleep behavior disorder
DIS_0710,Rectal cancer
DIS_0711,Rectal prolapse
DIS_0712,Rectovaginal fistula
DIS_0714,Renal artery stenosis
DIS_0715,Residual limb pain
DIS_0716,Retinal detachment
DIS_0718,Retinoblastoma
DIS_0719,Retractile testicle
DIS_0722,Reye's syndrome
DIS_0723,Rhabdomyosarcoma
DIS_0724,Rheumatic fever
DIS_0725,Rheumatoid arthritis
DIS_0730,Rotator cuff injury
DIS_0732,Rumination syndrome
DIS_0734,Ruptured spleen
DIS_0735,Sacroiliitis
DIS_0736,Salivary gland tumors
DIS_0738,Sarcoma
DIS_0741,Schizoaffective disorder
DIS_0742,Schizoid personality disorder
DIS_0743,Schizophrenia
DIS_0744,Schizotypal personality disorder
DIS_0746,Sciatica
DIS_0747,Sclerosing mesenteritis
DIS_0748,Scoliosis
DIS_0749,Scorpion sting
DIS_0750,Acanthosis nigricans
DIS_0751,Achilles tendinitis
DIS_0752,Seborrheic dermatitis
DIS_0752,Actinic keratosis
DIS_0753,Adjustment disorders
DIS_0754,Alzheimer's disease
DIS_0755,Seizures
DIS_0755,Anal itching
DIS_0756,Selective IgA deficiency
DIS_0756,Anaphylaxis
DIS_0757,Ankylosing spondylitis
DIS_0757,Self-injury/cutting
DIS_0758,Aortic dissection
DIS_0758,Separation anxiety disorder
DIS_0759,Aplastic anemia
DIS_0760,Astigmatism
DIS_0761,Athlete's foot
DIS_0762,Attention-deficit/hyperactivity disorder (ADHD) in children
DIS_0762,Shaken baby syndrome
DIS_0763,Shellfish allergy
DIS_0763,Autonomic neuropathy
DIS_0764,Bacterial vaginosis
DIS_0764,Shigella infection
DIS_0765,Bad breath
DIS_0766,Bedbugs
DIS_0767,Benign prostatic hyperplasia (BPH)
DIS_0767,Short bowel syndrome
DIS_0768,Black hairy tongue
DIS_0769,Bladder stones
DIS_0770,Blepharitis
DIS_0770,Skull base tumors
DIS_0771,Sleep apnea
DIS_0771,Blocked tear duct
DIS_0772,Sleep disorders
DIS_0772,Breast cancer
DIS_0773,Sleep terrors (night terrors)
DIS_0773,Bunions
DIS_0774,Carcinoid syndrome
DIS_0774,Sleepwalking
DIS_0775,Cardiogenic shock
DIS_0775,Small bowel cancer
DIS_0776,Cavernous malformations
DIS_0776,Small bowel prolapse (enterocele)
DIS_0777,Cellulitis
DIS_0778,Small lymphocytic lymphoma
DIS_0778,Cervical spondylosis
DIS_0779,Chagas disease
DIS_0780,Snoring
DIS_0780,Common warts
DIS_0781,Social anxiety disorder (social phobia)
DIS_0781,Congenital adrenal hyperplasia
DIS_0782,Corticobasal degeneration (corticobasal syndrome)
DIS_0782,Soft palate cancer
DIS_0783,Costochondritis
DIS_0783,Soft tissue sarcoma
DIS_0784,Croup
DIS_0785,Somatic symptom disorder
DIS_0785,Cytomegalovirus (CMV) infection
DIS_0786,Dehydration
DIS_0787,Specific phobias
DIS_0787,Dermatographia (Dermatographism)
DIS_0788,Spina bifida
DIS_0788,Dermatomyositis
DIS_0789,Spinal arteriovenous malformation (AVM)
DIS_0789,Diabetes
DIS_0790,Diabetic ketoacidosis
DIS_0790,Spinal cord tumor
DIS_0791,Diaper rash
DIS_0791,Spinal headaches
DIS_0792,Dilated cardiomyopathy
DIS_0792,Spinal tumor
DIS_0793,Double uterus
DIS_0793,Spontaneous coronary artery dissection (SCAD)
DIS_0794,Dry mouth
DIS_0794,Sprained ankle
DIS_0795,Dyshidrosis
DIS_0796,Stage 4 (metastatic) colon cancer
DIS_0796,Ectopic pregnancy
DIS_0797,Encopresis
DIS_0798,Endocarditis
DIS_0799,Stomach cancer
DIS_0799,Eye floaters
DIS_0800,Factor V Leiden
DIS_0801,Familial Mediterranean fever
DIS_0802,Familial hypercholesterolemia
DIS_0803,Fetal alcohol syndrome
DIS_0803,Stress incontinence
DIS_0804,Fever
DIS_0805,Fibromyalgia
DIS_0805,Stuttering
DIS_0806,Folliculitis
DIS_0806,Subarachnoid hemorrhage
DIS_0807,Frontal lobe seizures
DIS_0807,Sudden cardiac arrest
DIS_0808,Suicide and suicidal thoughts
DIS_0808,Gangrene
DIS_0809,Sunburn
DIS_0809,Gestational diabetes
DIS_0810,Gilbert syndrome
DIS_0810,Supraventricular tachycardia
DIS_0811,Head lice
DIS_0812,Heart attack
DIS_0813,Heart murmurs
DIS_0814,Heartburn
DIS_0815,Heavy menstrual bleeding
DIS_0816,Hiccups
DIS_0817,Hidradenitis suppurativa
DIS_0817,Synovial sarcoma
DIS_0818,High blood pressure in children
DIS_0818,Syringomyelia
DIS_0819,Histoplasmosis
DIS_0819,Systemic mastocytosis
DIS_0820,Hoarding disorder
DIS_0820,T-cell lymphoma
DIS_0821,TEN
DIS_0821,Huntington's disease
DIS_0822,TMJ disorders
DIS_0822,Hyperparathyroidism
DIS_0823,Hypoparathyroidism
DIS_0823,Tachycardia
DIS_0824,Ingrown hair
DIS_0824,Tay-Sachs disease
DIS_0825,Interstitial cystitis
DIS_0825,Teen depression
DIS_0826,Iron deficiency anemia
DIS_0826,Teeth grinding (bruxism)
DIS_0827,Temporal lobe seizure
DIS_0827,Itchy skin (pruritus)
DIS_0828,Tendinitis
DIS_0828,Jock itch
DIS_0829,Klinefelter syndrome
DIS_0829,Tendinopathy
DIS_0830,Lactose intolerance
DIS_0830,Tennis elbow
DIS_0831,Tension headache
DIS_0831,Leukoplakia
DIS_0832,Lice
DIS_0833,Low sex drive in women
DIS_0833,Tetanus
DIS_0834,Malaria
DIS_0834,Tetralogy of Fallot
DIS_0835,Male breast cancer
DIS_0836,Male hypogonadism
DIS_0836,Thoracic aortic aneurysm
DIS_0837,Thoracic outlet syndrome
DIS_0837,Malignant hyperthermia
DIS_0838,Measles
DIS_0838,Throat cancer
DIS_0839,Mitral valve prolapse
DIS_0839,Thrombocytosis
DIS_0840,Molluscum contagiosum
DIS_0841,Thumb arthritis
DIS_0841,Mosquito bites
DIS_0842,Thunderclap headaches
DIS_0842,Multiple system atrophy
DIS_0843,Mumps
DIS_0844,Muscular dystrophy
DIS_0845,Nephrotic syndrome
DIS_0845,Tinnitus
DIS_0846,Neurodermatitis
DIS_0847,Tongue cancer
DIS_0847,Noonan syndrome
DIS_0848,Optic neuritis
DIS_0849,Osteoarthritis
DIS_0849,Tonic-clonic (grand mal) seizure
DIS_0850,Ovarian hyperstimulation syndrome
DIS_0850,Tonsil cancer
DIS_0851,Pelvic inflammatory disease (PID)
DIS_0852,Pemphigus
DIS_0853,Persistent post-concussive symptoms (Post-concussion syndrome)
DIS_0854,Tourette syndrome
DIS_0854,Pityriasis rosea
DIS_0855,Toxic hepatitis
DIS_0855,Poison ivy rash
DIS_0856,Polycythemia vera
DIS_0857,Polymorphous light eruption
DIS_0857,Toxoplasmosis
DIS_0858,Polymyalgia rheumatica
DIS_0858,Tracheomalacia
DIS_0859,Trachoma
DIS_0859,Prader-Willi syndrome
DIS_0860,Transient ischemic attack (TIA)
DIS_0860,Preeclampsia
DIS_0861,Transposition of the great arteries
DIS_0861,Proctitis
DIS_0862,Prolactinoma
DIS_0863,Pulmonary atresia
DIS_0864,Pulmonary edema
DIS_0865,Trichotillomania (hair-pulling disorder)
DIS_0865,Rabies
DIS_0866,Radiation sickness
DIS_0867,Reactive arthritis
DIS_0867,Tricuspid valve disease
DIS_0868,Recurrent breast cancer
